VocabURI;domain
http://vocab.linkeddata.es/datosabiertos/def/comercio/tejido-comercial;comercio, tejido comercial
http://vocab.linkeddata.es/datosabiertos/def/cultura-ocio/agenda;cultura, ocio
http://vocab.linkeddata.es/datosabiertos/def/hacienda/presupuesto;hacienda, presupuesto
http://vocab.linkeddata.es/datosabiertos/def/medio-ambiente/calidad-aire;medio ambiente, calidad del aire
http://vocab.linkeddata.es/datosabiertos/def/medio-ambiente/contaminacion-acustica;medio ambiente, contaminacion acustica
http://vocab.linkeddata.es/datosabiertos/def/medio-ambiente/otalex;medio ambiente, otalex
http://vocab.linkeddata.es/datosabiertos/def/sector-publico/servicio;sector publico, servicios
http://vocab.linkeddata.es/datosabiertos/def/sector-publico/subvencion;sector publico, subvenciones
http://vocab.linkeddata.es/datosabiertos/def/sector-publico/territorio;sector publico, territorio
http://vocab.linkeddata.es/datosabiertos/def/transporte/trafico;transporte, trafico
http://vocab.linkeddata.es/datosabiertos/def/transporte/transporte-publico;transporte, transporte publico
http://vocab.linkeddata.es/datosabiertos/def/turismo/alojamiento;turismo, alojamientos
http://vocab.linkeddata.es/datosabiertos/def/turismo/lugar;turismo, lugares
http://vocab.linkeddata.es/datosabiertos/def/urbanismo-infraestructuras/alumbrado-publico;urbanismo e infraestructuras, alumbrado publico
http://vocab.linkeddata.es/datosabiertos/def/urbanismo-infraestructuras/callejero;urbanismo e infraestructuras, callejero
http://vocab.linkeddata.es/datosabiertos/def/urbanismo-infraestructuras/direccion-postal;urbanismo e infraestructuras, direcciones postales
http://vocab.linkeddata.es/datosabiertos/def/urbanismo-infraestructuras/equipamiento;urbanismo e infraestructuras, equipamientos
http://vocab.linkeddata.es/datosabiertos/def/urbanismo-infraestructuras/equipamiento-municipal;sociedad bienestar, equipamientos municipales
